"HolderAddress","Balance","PendingBalanceUpdate"
"0x3ee18b2214aff97000d974cf647e7c347e8fa585","2,745.26921048","No"
"0xbec5e1ad5422e52821735b59b39dc03810aae682","155.30249327054199755","No"
"0xd5c6a038950b977969e66f4823fd813c67048ba0","70.20677","No"
"0xe32f50563f7742fb3440b8f000a904b5105de00a","42.6226963","No"
"0xee2262acb1ca8aa9ccf46e9c1ae1306d4ef66fc9","24.99999999","No"
"0x6e81af9c68795d47d74e8f4b8ed55c31c01cd001","15.96020396","No"
"0x9f389284b2e1be0fa905b63d287f76af71518d15","14.985","No"
"0xacd4fec65ba29fe9fa20d76b1f955bf4bc7de995","10.955653","No"
"0x4c8fb77e494ed542e9a4a4024c7aa9a7afda1f3f","7.00512393","No"
"0xc95da7b664743b242c6f67150f6e7c4953e4f465","6.992999","No"
"0x2019f9fe70142c9cbe5f38e4759e2580e774b07e","5.852478","No"
"0x283a8a932e97180a1bb7a871b18d88d16d4bf937","5.03655","No"
"0xc459742d208ee4ddba82ac03dbcbfa3fc7edba22","4.851845","No"
"0xf2f9048a3bd3fa21791715cf56d834a1188c7c43","4.44762799","No"
"0xe5811f22e6b6aa5c4b0a0dfeb744fd6999e64c3d","4.37424","No"
"0x5da60267d5fef310986ed3faddb982017bbc9a58","4.008843","No"
"0xe90e47c5d2ea98956821472a997732a93eca7a6d","3.286528","No"
"0x91b0263b945d9f17207ba168921a25ec7c0d361a","3.259184","No"
"0xfc38373510a296a2c66542a237d62bfbbb771df4","3.213613","No"
"0x03063424bb355111bc7038cea5daf185db3ec114","2.975703","No"
"0x00f9d2a9db12d557434355339124cd483d58f70d","2.797199","No"
"0xa4161a76ebb2b24a62cdb62caa260eb441455903","2.699917","No"
"0x196de81e90626ef20d81b4f1cf0e7c8bb80d08eb","2.187291","No"
"0xac6dd799129160b18c1a2461a5b3323ab356908c","2.01","No"
"0xd465b039188dd054ab0eb5d46506871888bc49f3","2.008924","No"
"0x7ed7d3a3bb9797456b8db5299a296fc918b63702","2.000419","No"
"0x49edb67a9e235c733b59ad0159a32af76bda28a6","1.861232","No"
"0x420c49ff3b77acbc5e139aa342e443e54214d51e","1.858609","No"
"0x37a6270f77e8f32543b2c15f9cf0e2ec56c4379f","1.80340199","No"
"0xecdc2b35a4ad232b724f9e23a15b4c7ee8427303","1.7","No"
"0xd8321fbd91be44cd14ddcac97d6760562540c3bd","1.633425","No"
"0xbf70dc2806fbb04f316f43a5896bd7f560bfc2c4","1.379616","No"
"0x4184011a7ef4e735cbe16fd9c19e15917ba518ec","1.337977","No"
"0x15d24b65c13145622bfe97c31f0d391a8a3fb3f6","1.316189","No"
"0x53316a99dc1eaf3c36a179fcb26af2c77136be58","1.272377","No"
"0x78b4786a6aeb1d0769c01cd6fbc902590e40e6bf","1.15939545","No"
"0xc88f9c7a6e687dfa25f4bf9d26a35bb58c6f4724","1.146891","No"
"0xfce789354ac342c10a21f58bfd71517173a7f535","1.131358","No"
"0x7c75043d77dcd2136efe78dd17e57b787d31b67a","1.0720799","No"
"0x6c939da1c237fb9f95e3985bf9ebb71ad79f2bf9","1.07045999","No"
"0x2b1c1e50d660b5bba8c984a9b47b5ec17607ece0","1.068747","No"
"0xf367e1df9b6c4cdee6bf98036c709bc49073ed67","1.060337","No"
"0x68c59e0fa659c95259ad869b5584b821397b72d4","1.043316","No"
"0x01e68ea97ae3136db56fb22cd0ac44f51c6a27c8","1","No"
"0x811b5da4f4355938e5ac89c9102fa5d9ad6eac95","1","No"
"0x7c912d504df9ab74082b05db80aa57df29ace11f","1","No"
"0x68366e5822d4659d2f2a1817eda54810f1fbec02","0.99999999","No"
"0x3dba084220d8d70ca0aa6061cde06353e2d03db9","0.998999","No"
"0xc5ab97ee3048ae3b3430ae8e7ce2c0cc09fe44de","0.998773","No"
"0x5f26c84139917168e09c05e54170c4c750743f3d","0.869998","No"
"0xa2ba3f9218fc81173eb7f89164ce0de8f488552c","0.849224","No"
"0xdea10c87e4557cdecfd8dc29a5ea0452c760bda9","0.800000000000000044","No"
"0x69e7ac99fc5fb60d73838140281916324e3abd3b","0.790912","No"
"0xea31f463a62f1ca9a81678e54b11960395a8a0bb","0.774501","No"
"0xbf868aa8e9253a7c152eb502b82a544a9f8d74cb","0.750802","No"
"0x8d8d30407251a8eb2b3d686e58e4013b1d367b70","0.75051899","No"
"0xc6ff5b8b21de2a230bd626f128c1e39ec56311e7","0.717751","No"
"0x9b1060dc6a133a45e4ae46808a0e2a1494ea580d","0.692802","No"
"0x16cd91da5099a1e04d2743c43240700dce7d68ea","0.68546","No"
"0xf4b2421ec7e330a986a67fb9a2224f0ffb7afb62","0.598383","No"
"0x120505b6f1fd3aac5dbcfda6bcd4e9df4052a41e","0.583453","No"
"0x85c5f4b6f42f6362a69a150637a60f2d88e4cfe1","0.58131","No"
